Comp Name:Grand National Dancesport Championships
Dancers
["Heat", "670", "4@Saturday 8:51 AM", "Smooth Single Dances C1. Closed Inter-Bronze Amer. Viennese Waltz", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "836", "4@Saturday 1:16 PM", "Grand National Challenge Events Amer. Smooth (W,T)", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "842", "4@Saturday 1:43 PM", "P/A Closed Bronze Scholarship SR2 Amer. Smooth Championship (W,T)", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "847", "4@Saturday 2:07 PM", "P/A Closed Silver Scholarship SR2 Amer. Smooth Championship (W,T,F)", "???", "Altman, Laura and Blythe, Stephen", "---"]
Dancer:Alvarez, Betsy:211:Heats:37
["Heat", "46", "1@Thursday 12:08 PM", "Nightclub Single Dances A2 Open Pre-Bronze Salsa", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "60", "1@Thursday 12:27 PM", "Nightclub Single Dances A2 Open Bronze RS Salsa", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "64", "1@Thursday 12:33 PM", "Nightclub Single Dances A2 Open Pre-Silver RS Salsa", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "72", "1@Thursday 12:44 PM", "Nightclub Single Dances A2 Open Bornze Salsa", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "79", "1@Thursday 12:54 PM", "Nightclub Single Dances A2 Open Pre-Silver Salsa", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "89", "1@Thursday 1:13 PM", "Rhythm Single Dances A2 Closed Inter-Bronze Amer. Cha Cha", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "90", "1@Thursday 1:14 PM", "Rhythm Single Dances A2 Closed Inter-Bronze Amer. Rumba", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "91", "1@Thursday 1:16 PM", "Rhythm Single Dances A2 Closed Inter-Bronze Amer. Swing", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "92", "1@Thursday 1:17 PM", "Rhythm Single Dances A2 Closed Inter-Bronze Amer. Bolero", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "93", "1@Thursday 1:18 PM", "Rhythm Single Dances A2 Closed Inter-Bronze Amer. Mambo", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "99", "1@Thursday 1:27 PM", "Rhythm Single Dances A2 Closed Inter-Bronze RS Amer. Cha Cha", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "100", "1@Thursday 1:28 PM", "Rhythm Single Dances A2 Closed Inter-Bronze RS Amer. Rumba", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "101", "1@Thursday 1:30 PM", "Rhythm Single Dances A2 Closed Inter-Bronze RS Amer. Swing", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "102", "1@Thursday 1:31 PM", "Rhythm Single Dances A2 Closed Inter-Bronze RS Amer. Bolero", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "103", "1@Thursday 1:32 PM", "Rhythm Single Dances A2 Closed Inter-Bronze RS Amer. Mambo", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "114", "1@Thursday 1:48 PM", "Rhythm Single Dances A2 Closed Full Bronze Amer. Cha Cha", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "115", "1@Thursday 1:49 PM", "Rhythm Single Dances A2 Closed Full Bronze Amer. Rumba", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "116", "1@Thursday 1:51 PM", "Rhythm Single Dances A2 Closed Full Bronze Amer. Swing", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "117", "1@Thursday 1:52 PM", "Rhythm Single Dances A2 Closed Full Bronze Amer. Bolero", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "118", "1@Thursday 1:53 PM", "Rhythm Single Dances A2 Closed Full Bronze Amer. Mambo", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "267", "1@Thursday 6:03 PM", "Grand National Challenge Events Amer. Rhythm (CC,R)", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "269", "1@Thursday 6:12 PM", "P/A Closed Bronze DSS Champ. - Best of the Best B Amer. Rhythm (CC,R)", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "276", "1@Thursday 6:54 PM", "P/A Closed Bronze Scholarship B Amer. Rhythm Championship (CC,R)", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "729", "4@Saturday 10:30 AM", "Smooth Single Dances A2 Closed Full Bronze RS Amer. Waltz", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "730", "4@Saturday 10:31 AM", "Smooth Single Dances A2 Closed Full Bronze RS Amer. Tango", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "731", "4@Saturday 10:33 AM", "Smooth Single Dances A2 Closed Full Bronze RS Amer. Foxtrot", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "732", "4@Saturday 10:34 AM", "Smooth Single Dances A2 Closed Full Bronze RS Amer. Viennese Waltz", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "659", "4@Saturday 8:36 AM", "Smooth Single Dances A2 Closed Inter-Bronze Amer. Waltz", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "660", "4@Saturday 8:37 AM", "Smooth Single Dances A2 Closed Inter-Bronze Amer. Tango", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "661", "4@Saturday 8:39 AM", "Smooth Single Dances A2 Closed Inter-Bronze Amer. Foxtrot", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "662", "4@Saturday 8:40 AM", "Smooth Single Dances A2 Closed Inter-Bronze Amer. Viennese Waltz", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "672", "4@Saturday 8:54 AM", "Smooth Single Dances A2 Closed Full Bronze Amer. Waltz", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "673", "4@Saturday 8:56 AM", "Smooth Single Dances A2 Closed Full Bronze Amer. Tango", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "674", "4@Saturday 8:57 AM", "Smooth Single Dances A2 Closed Full Bronze Amer. Foxtrot", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "675", "4@Saturday 8:58 AM", "Smooth Single Dances A2 Closed Full Bronze Amer. Viennese Waltz", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "839", "4@Saturday 1:28 PM", "P/A Closed Bronze DSS Champ. - Best of the Best B Amer. Smooth (W,T)", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
["Heat", "841", "4@Saturday 1:40 PM", "P/A Closed Bronze Scholarship B Amer. Smooth Championship (W,T)", "???", "Alvarez, Betsy and Fernandez, Roberto", "---"]
Dancer:Alvarez, Johnathan:208:Heats:48
["Heat", "84", "1@Thursday 1:06 PM", "Rhythm Single Dances PT1 Newcomer RS Amer. Cha Cha", "???", "Alvarez, Johnathan and Semukova, Ekaterina", "---"]
["Heat", "85", "1@Thursday 1:07 PM", "Rhythm Single Dances PT1 Newcomer RS Amer. Rumba", "???", "Alvarez, Johnathan and Semukova, Ekaterina", "---"]
["Heat", "86", "1@Thursday 1:09 PM", "Rhythm Single Dances PT1 Newcomer RS Amer. Swing", "???", "Alvarez, Johnathan and Semukova, Ekaterina", "---"]
