Comp Name:The Snow Ball 2020
Dancers
["Heat", "454", "Session 3: Saturday Daytime@02:46PM Saturday", "AP-B2 Cl. Full Silver American Bolero", "102", "Afonkin, Igor and Kennedy, Sharon", "---"]
["Heat", "455", "Session 3: Saturday Daytime@02:48PM Saturday", "AP-B2 Cl. Full Silver American Mambo", "102", "Afonkin, Igor and Kennedy, Sharon", "---"]
["Heat", "471", "Session 3: Saturday Daytime@03:10PM Saturday", "AP-B2 Open Int. Gold American Cha Cha", "102", "Afonkin, Igor and LaFavor, Jeanie", "---"]
["Heat", "472", "Session 3: Saturday Daytime@03:11PM Saturday", "AP-B2 Open Int. Gold American Rumba", "102", "Afonkin, Igor and LaFavor, Jeanie", "---"]
["Heat", "473", "Session 3: Saturday Daytime@03:13PM Saturday", "AP-B2 Open Int. Gold American Swing", "102", "Afonkin, Igor and LaFavor, Jeanie", "---"]
["Heat", "474", "Session 3: Saturday Daytime@03:14PM Saturday", "AP-B2 Open Int. Gold American Bolero", "102", "Afonkin, Igor and LaFavor, Jeanie", "---"]
["Heat", "475", "Session 3: Saturday Daytime@03:16PM Saturday", "AP-B2 Open Int. Gold American Mambo", "102", "Afonkin, Igor and LaFavor, Jeanie", "---"]
["Heat", "481", "Session 3: Saturday Daytime@03:24PM Saturday", "AP-B2 Open Full Gold American Cha Cha", "102", "Afonkin, Igor and LaFavor, Jeanie", "---"]
["Heat", "482", "Session 3: Saturday Daytime@03:25PM Saturday", "AP-B2 Open Full Gold American Rumba", "102", "Afonkin, Igor and LaFavor, Jeanie", "---"]
["Heat", "483", "Session 3: Saturday Daytime@03:27PM Saturday", "AP-B2 Open Full Gold American Swing", "102", "Afonkin, Igor and LaFavor, Jeanie", "---"]
["Heat", "484", "Session 3: Saturday Daytime@03:28PM Saturday", "AP-B2 Open Full Gold American Bolero", "102", "Afonkin, Igor and LaFavor, Jeanie", "---"]
